Time,Athlete,Event,Race,Lane Number
08:07,T.Koekemoer,5. MK1 1000,Heat 2,2
08:07,M.Stewart,5. MK1 1000,Heat 2,5
08:07,B.Chadwick,5. MK1 1000,Heat 2,7
08:21,F.Cunningham,5. MK1 1000,Heat 4,3
08:28,"Toby Schooley
Ashby Allen",12. MK2 1000 18,Direct Final,4
08:28,"F.Armstrong
J.Sheppard",12. MK2 1000 18,Direct Final,5
09:15,"Jemma Smith 
G.Sinclair",99. WK2 500,Heat 1,3
09:15,"Yasemi Ray
Keily Dober",99. WK2 500,Heat 1,7
09:20,"Ella Beere
Kailey Harlen",99. WK2 500,Heat 2,4
09:20,"J.Brigden-Jones
Jaime Roberts",99. WK2 500,Heat 2,5
09:25,A.van der Kwartel,90. WK1 500 18,Heat 1,3
09:25,Nicci Vesely,90. WK1 500 18,Heat 1,4
09:30,I.Rupenovic,90. WK1 500 18,Heat 2,3
09:30,Jasmine Locke,90. WK1 500 18,Heat 2,5
09:35,Riley Clarke,90. WK1 500 18,Heat 3,6
10:00,"M Cronin
Eli Newton",13. MK2 1000,Heat 1,1
10:00,"Lachlan Tame
Murray Stewart",13. MK2 1000,Heat 1,4
10:00,"Fletcher Cunningham
S Hutchinson",13. MK2 1000,Heat 1,7
10:07,"Ethan Neville
Nick Dawe",13. MK2 1000,Heat 2,2
10:07,"Tinus Koekemoer
Byron Chadwick",13. MK2 1000,Heat 2,7
10:14,Jarrah Sheppard,4. MK1 1000 18,Heat 1,4
10:14,Fletcher Armstrong,4. MK1 1000 18,Heat 1,5
10:21,Toby Schooley,4. MK1 1000 18,Heat 2,3
10:21,Ashby Allen,4. MK1 1000 18,Heat 2,6
12:10,"Alisa van der Kwartel
Nicci Vesely",166. WK2 200 18,Heat 1,5
12:10,"India Newton
Riley Clarke",166. WK2 200 18,Heat 1,6
12:15,"G Weston
Isabella Rupenovic",166. WK2 200 18,Heat 2,3
12:15,"Jasmine Locke
C Richardson",166. WK2 200 18,Heat 2,4
01:00,Kailey Harlen,159. WK1 200,Heat 1,4
01:00,J.Brigden-Jones,159. WK1 200,Heat 1,5
01:00,G.Sinclair,159. WK1 200,Heat 1,6
01:05,Jemma Smith,159. WK1 200,Heat 2,2
01:05,Ella Beere,159. WK1 200,Heat 2,5
01:10,Keily Dober,159. WK1 200,Heat 3,4
01:20,F.Cunningham,135. MK1 200,Heat 1,3
01:20,Eli Newton,135. MK1 200,Heat 1,6
01:25,Ethan Neville,135. MK1 200,Heat 2,5
01:30,D.Littlehales,135. MK1 200,Heat 3,7
01:35,"F.Armstrong
Jarrah Sheppard",142. MK2 200 18,Direct Final,5
01:35,"Toby Schooley
Ashby Allen",142. MK2 200 18,Direct Final,6
02:25,I.Rupenovic,158. WK1 200 18,Heat 1,2
02:25,Jasmine Locke,158. WK1 200 18,Heat 1,4
02:25,A.van der Kwartel,158. WK1 200 18,Heat 1,5
02:30,Riley Clarke,158. WK1 200 18,Heat 2,6
02:35,Nicci Vesely,158. WK1 200 18,Heat 3,4
15:52,"P.van der Westhuyzen
Ashby Allen
F.Armstrong
J.Sheppard",150. MK4 200 18,Direct Final,5
